id,name,category,subcategory,description,attributes,created_at
1,Traditional,Classic,,,,2024-11-23 14:33:04.516677+00
2,New School,Modern,,,,2024-11-23 14:33:04.516677+00
3,Anime,Illustrative,,,,2024-11-23 14:33:04.516677+00
4,Fineline,Minimal,,,,2024-11-23 14:33:04.516677+00
5,Geometric,Abstract,,,,2024-11-23 14:33:04.516677+00
6,Micro Realism,Realism,,,,2024-11-23 14:33:04.516677+00
7,Realism,Realism,,,,2024-11-23 14:33:04.516677+00
8,Dot Work,Technical,,,,2024-11-23 14:33:04.516677+00
9,Dark Art,Artistic,,,,2024-11-23 14:33:04.516677+00
10,Flowers,Nature,,,,2024-11-23 14:33:04.516677+00
11,Surrealism,Artistic,,,,2024-11-23 14:33:04.516677+00
12,Trash Polka,Modern,,,,2024-11-23 14:33:04.516677+00